timestamp,session_id,value
1766670280.5555215,default,2
1766670289.7609482,default,2
1766670294.444068,default,2
1766670301.0989375,default,2
1766670305.9761586,default,2
1766670321.329539,default,2
1766670325.7110498,default,1788
1766670519.935704,default,2
1766670529.1284783,default,2
1766670534.2545931,default,2
1766670539.1297317,default,2
1766670543.0560071,default,2
1766670553.75367,default,2
1766670557.9679441,default,1719
1766670572.1263168,default,3
1766670580.3022242,default,3
1766670584.4782035,default,3
1766670589.0198224,default,3
1766670592.1432695,default,3
1766670603.989947,default,2
1766670608.2528367,default,3
1766670613.3166778,default,3
1766670616.8896477,default,3
1766670636.9543276,default,3
1766670639.3064778,default,3
1766670641.0279493,default,3
1766670643.2995524,default,3
1766670661.667479,default,3
1766670671.6047728,default,3
1766670674.9977345,default,3
1766670689.3543336,default,3
1766670787.2211,default,3
1766750036.3099842,default,3
1766750048.698091,default,2
1766750081.1481822,default,2
1766750090.0975206,default,3
1766750100.5226233,default,2
1766750105.4117453,default,2
1766750110.9455447,default,2
1766750116.1209185,default,2
1766750126.4588113,default,3
1766750143.2849486,default,2
1766750147.2723324,default,1637
