timestamp,session_id,value
1766670280.5555215,default,0.3119986057281494
1766670289.7599478,default,0.28102636337280273
1766670294.444068,default,0.27711009979248047
1766670301.0989375,default,0.29106903076171875
1766670305.9761586,default,0.30216407775878906
1766670321.3285434,default,0.28409528732299805
1766670325.710058,default,4.292520999908447
1766670519.935704,default,0.595104455947876
1766670529.1274903,default,0.28458285331726074
1766670534.2545931,default,0.3353273868560791
1766670539.1297317,default,0.2900516986846924
1766670543.0560071,default,0.29399847984313965
1766670553.7526758,default,2.798433780670166
1766670557.9679441,default,4.1622748374938965
1766670572.1263168,default,0.29825258255004883
1766670580.3022242,default,0.26129841804504395
1766670584.4782035,default,0.3061051368713379
1766670589.0188284,default,1.2284467220306396
1766670592.1432695,default,0.2380053997039795
1766670603.989947,default,0.24606633186340332
1766670608.2528367,default,0.2759997844696045
1766670613.3166778,default,0.6300113201141357
1766670616.8896477,default,0.24499773979187012
1766670636.9543276,default,0.2821974754333496
1766670639.3064778,default,0.25013160705566406
1766670641.0279493,default,0.3170750141143799
1766670643.2995524,default,0.3090808391571045
1766670661.667479,default,0.3879992961883545
1766670671.6037724,default,0.30299901962280273
1766670674.9977345,default,0.29201292991638184
1766670689.3543336,default,0.2500488758087158
1766670787.2211,default,0.24399971961975098
1766750036.3089845,default,0.26199936866760254
1766750048.698091,default,0.2610001564025879
1766750081.1481822,default,0.29799866676330566
1766750090.0975206,default,0.2409985065460205
1766750100.5226233,default,0.3560047149658203
1766750105.4117453,default,0.24300122261047363
1766750110.9455447,default,0.30699753761291504
1766750116.1209185,default,0.504000186920166
1766750126.457817,default,0.25800514221191406
1766750143.2839477,default,2.329357147216797
1766750147.2713385,default,3.872689723968506
